%FFID	CHAN	SOU_X	SOU_Y	REC_Y	REC_X	PICK2	SOU_STAT
29	7	512765.73000	4198315.41000	4198305.53000	512736.87000	12.46866	45.30000
29	8	512765.73000	4198315.41000	4198304.62000	512736.46000	12.52788	44.60000
30	1	512761.71000	4198317.69000	4198310.98000	512739.31000	9.83715	42.70000
30	2	512761.71000	4198317.69000	4198310.14000	512738.77000	9.84684	42.90000
30	3	512761.71000	4198317.69000	4198309.29000	512738.24000	10.06340	43.20000
30	4	512761.71000	4198317.69000	4198308.45000	512737.70000	10.39408	43.70000
30	5	512761.71000	4198317.69000	4198307.61000	512737.16000	10.63377	44.10000
30	6	512761.71000	4198317.69000	4198306.76000	512736.63000	10.77821	44.40000
30	7	512761.71000	4198317.69000	4198305.92000	512736.09000	10.93374	45.20000
30	8	512761.71000	4198317.69000	4198305.07000	512735.55000	10.99898	44.70000
31	1	512759.71000	4198319.19000	4198311.00000	512739.38000	9.16325	42.80000
31	2	512759.71000	4198319.19000	4198310.25000	512738.71000	9.16528	43.00000
31	3	512759.71000	4198319.19000	4198309.51000	512738.04000	9.56994	43.10000
31	4	512759.71000	4198319.19000	4198308.77000	512737.37000	9.97914	44.20000
31	5	512759.71000	4198319.19000	4198308.02000	512736.70000	9.89528	44.30000
31	6	512759.71000	4198319.19000	4198307.28000	512736.03000	10.21224	44.50000
31	7	512759.71000	4198319.19000	4198306.53000	512735.37000	10.72962	45.20000
31	8	512759.71000	4198319.19000	4198305.79000	512734.70000	10.25288	44.80000
32	1	512758.90000	4198319.67000	4198310.94000	512739.41000	8.78994	42.70000
32	2	512758.90000	4198319.67000	4198310.15000	512738.80000	8.77775	42.70000
32	3	512758.90000	4198319.67000	4198309.35000	512738.20000	9.06871	43.20000
32	4	512758.90000	4198319.67000	4198308.56000	512737.59000	9.46826	43.80000
32	5	512758.90000	4198319.67000	4198307.77000	512736.98000	9.77266	43.90000
32	6	512758.90000	4198319.67000	4198306.97000	512736.37000	9.98467	44.40000
32	7	512758.90000	4198319.67000	4198306.18000	512735.76000	10.19738	45.20000
32	8	512758.90000	4198319.67000	4198305.38000	512735.15000	10.31702	44.80000
33	1	512758.16000	4198320.03000	4198311.10000	512739.44000	8.38130	42.60000
33	2	512758.16000	4198320.03000	4198310.48000	512738.66000	8.42721	42.60000
33	3	512758.16000	4198320.03000	4198309.85000	512737.88000	8.67751	43.10000
33	4	512758.16000	4198320.03000	4198309.22000	512737.10000	9.12913	43.60000
33	5	512758.16000	4198320.03000	4198308.60000	512736.32000	9.47885	43.80000
33	6	512758.16000	4198320.03000	4198307.97000	512735.54000	9.73264	44.30000
33	7	512758.16000	4198320.03000	4198307.34000	512734.76000	9.98736	45.10000
33	8	512758.16000	4198320.03000	4198306.72000	512733.98000	10.03969	44.70000
34	1	512757.63000	4198320.57000	4198311.01000	512739.42000	8.16572	42.50000
34	2	512757.63000	4198320.57000	4198310.45000	512738.60000	8.22129	42.80000
34	3	512757.63000	4198320.57000	4198309.89000	512737.77000	8.48309	43.10000
34	4	512757.63000	4198320.57000	4198309.33000	512736.94000	8.94518	43.60000
34	5	512757.63000	4198320.57000	4198308.77000	512736.11000	9.30753	44.00000
34	6	512757.63000	4198320.57000	4198308.21000	512735.28000	9.57011	44.20000
34	7	512757.63000	4198320.57000	4198307.65000	512734.46000	9.82708	45.40000
34	8	512757.63000	4198320.57000	4198307.09000	512733.63000	9.89006	44.60000
35	1	512757.38000	4198320.82000	4198311.04000	512739.49000	8.34733	42.70000
35	2	512757.38000	4198320.82000	4198310.50000	512738.65000	8.40926	42.70000
35	3	512757.38000	4198320.82000	4198309.95000	512737.82000	8.66874	43.00000
35	4	512757.38000	4198320.82000	4198309.40000	512736.98000	9.13420	43.80000
35	5	512757.38000	4198320.82000	4198308.86000	512736.14000	9.49654	43.90000
35	6	512757.38000	4198320.82000	4198308.31000	512735.30000	9.76224	44.20000
